Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,User_Score_was_missing,Critic_Score_was_missing,Critic_Count_was_missing,User_Count_was_missing
0,0,0,0,0,180.0,97.0,0.0,28.0,306.0,74.0,17.0,7.9,22.0,0,0,0,0,0,0
1,0,0,0,1,151.0,61.0,0.0,21.0,234.0,78.0,22.0,6.6,28.0,0,0,0,0,0,0
0,1,0,0,0,56.0,44.0,0.0,27.0,128.0,73.0,5.0,7.4,10.0,0,0,0,0,0,0
2,2,0,0,2,117.0,7.0,0.0,1.0,125.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
3,0,0,0,0,69.0,42.0,0.0,12.0,124.0,76.0,8.0,7.8,13.0,0,0,0,0,0,0
3,3,0,0,0,51.0,37.0,0.0,9.0,97.0,77.0,35.0,7.9,39.0,0,0,0,0,0,0
4,4,0,0,3,15.0,13.0,63.0,5.0,95.0,78.0,59.0,8.0,177.0,2,2,0,0,0,0
3,4,0,0,0,36.0,41.0,0.0,15.0,91.0,76.0,27.0,8.3,48.0,0,0,0,0,0,0
5,3,0,0,0,52.0,24.0,0.0,8.0,84.0,61.0,48.0,7.4,113.0,3,2,0,0,0,0
5,4,0,0,0,25.0,42.0,1.0,13.0,82.0,63.0,33.0,7.0,100.0,3,2,0,0,0,0
6,5,0,0,4,48.0,18.0,0.0,1.0,67.0,66.0,7.0,6.8,5.0,4,3,0,0,0,0
3,6,0,0,0,34.0,25.0,0.0,7.0,66.0,69.0,4.0,7.8,162.22990777338603,0,0,1,0,0,1
7,0,0,0,3,26.0,28.0,0.0,7.0,60.0,35.0,12.0,6.8,6.0,5,0,0,0,0,0
8,2,0,0,2,43.0,3.0,0.0,0.0,46.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
9,2,0,0,2,42.0,2.0,0.0,0.0,45.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
10,3,0,0,5,26.0,13.0,0.0,4.0,44.0,71.0,72.0,7.2,63.0,6,4,0,0,0,0
3,7,0,0,0,18.0,19.0,0.0,3.0,40.0,71.0,7.0,6.5,11.0,0,0,0,0,0,0
10,4,0,0,5,18.0,14.0,0.0,6.0,39.0,70.0,47.0,7.6,43.0,6,4,0,0,0,0
7,1,0,0,3,11.0,16.0,0.0,10.0,37.0,28.0,4.0,4.1,7.0,5,0,0,0,0,0
11,8,0,0,6,6.0,25.0,0.0,4.0,35.0,86.0,18.0,8.5,3552.0,7,2,0,0,0,0
12,2,0,0,2,28.0,2.0,0.0,0.0,31.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
6,9,0,0,4,22.0,6.0,0.0,1.0,28.0,71.0,17.0,7.8,162.22990777338603,0,4,1,0,0,1
13,2,0,0,2,25.0,2.0,0.0,0.0,27.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
3,1,0,0,0,10.0,10.0,0.0,6.0,26.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,0,0,1,1,1,1
3,8,0,0,0,5.0,14.0,0.0,3.0,22.0,80.0,5.0,8.5,44.0,0,0,0,0,0,0
14,4,0,0,0,9.0,0.0,0.0,1.0,11.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
14,6,0,0,0,8.0,1.0,0.0,1.0,10.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,8,3,1,1,1,1
14,3,0,0,0,8.0,1.0,0.0,1.0,10.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
15,0,0,0,7,0.0,0.0,8.0,0.0,8.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,9,1,1,1,1,1
14,0,0,0,0,6.0,1.0,0.0,1.0,8.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
16,6,0,0,8,7.0,0.0,0.0,0.0,7.0,44.0,26.0,7.8,162.22990777338603,10,3,1,0,0,1
17,6,0,0,9,6.0,0.0,0.0,0.0,7.0,48.0,11.0,6.1,10.0,11,4,0,0,0,0
18,0,0,0,3,5.0,0.0,0.0,0.0,5.0,57.0,16.0,6.0,6.0,12,4,0,0,0,0
18,6,0,0,3,5.0,0.0,0.0,0.0,5.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
19,2,0,1,2,121.0,8.0,0.0,1.0,130.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
20,6,0,1,10,0.0,2.0,0.0,0.0,2.0,66.0,5.0,7.8,162.22990777338603,13,4,1,0,0,1
21,8,0,2,11,7.0,5.0,0.0,2.0,13.0,91.0,23.0,8.0,352.0,14,4,0,0,0,0
22,1,0,2,8,8.0,0.0,0.0,1.0,9.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,15,4,1,1,1,1
23,0,0,3,12,133.0,56.0,0.0,20.0,208.0,80.0,21.0,6.3,37.0,16,4,0,0,0,0
24,10,0,4,7,68.0,31.0,0.0,4.0,103.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
25,5,0,4,4,10.0,4.0,0.0,0.0,14.0,69.0,7.0,7.8,162.22990777338603,17,3,1,0,0,1
26,5,0,4,9,2.0,1.0,0.0,0.0,3.0,75.0,27.0,8.0,4.0,18,3,0,0,0,0
27,2,0,5,2,41.0,3.0,0.0,0.0,44.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
28,2,0,5,2,35.0,2.0,0.0,0.0,38.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
29,5,0,5,11,6.0,2.0,0.0,0.0,9.0,83.0,22.0,9.5,4.0,19,3,0,0,0,0
30,0,0,5,13,1.0,2.0,0.0,0.0,4.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,20,3,1,1,1,1
31,3,0,6,2,30.0,31.0,0.0,7.0,68.0,68.0,61.0,6.4,87.0,21,4,0,0,0,0
31,4,0,6,2,16.0,34.0,1.0,12.0,62.0,70.0,43.0,6.1,44.0,21,4,0,0,0,0
32,2,0,6,2,26.0,1.0,0.0,0.0,27.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
31,8,0,6,2,5.0,11.0,0.0,3.0,19.0,72.0,19.0,5.7,253.0,21,4,0,0,0,0
33,7,0,6,14,8.0,0.0,0.0,1.0,8.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,22,3,1,1,1,1
34,3,0,6,10,0.0,4.0,0.0,1.0,5.0,46.0,7.0,7.6,5.0,23,1,0,0,0,0
35,0,0,6,15,0.0,1.0,0.0,0.0,1.0,54.0,4.0,7.8,162.22990777338603,24,3,1,0,0,1
36,11,0,7,11,0.0,0.0,63.0,0.0,63.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
37,12,0,7,7,0.0,0.0,28.0,4.0,33.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
38,13,0,7,16,11.0,5.0,7.0,3.0,27.0,78.0,28.0,7.6,116.0,25,4,0,0,0,0
39,6,0,7,6,0.0,0.0,9.0,0.0,9.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,26,3,1,1,1,1
40,6,0,7,11,0.0,0.0,7.0,0.0,7.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
41,4,0,7,17,0.0,0.0,1.0,0.0,1.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
42,2,0,8,2,236.0,14.0,0.0,3.0,252.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
43,2,0,8,2,91.0,6.0,0.0,1.0,98.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
44,3,0,8,18,23.0,21.0,1.0,5.0,50.0,69.0,79.0,7.3,86.0,27,2,0,0,0,0
45,14,0,8,5,32.0,11.0,0.0,2.0,45.0,89.0,84.0,8.9,85.0,28,2,0,0,0,0
46,8,0,8,19,2.0,19.0,0.0,4.0,24.0,88.0,36.0,8.0,1247.0,29,2,0,0,0,0
47,0,0,8,4,9.0,0.0,0.0,1.0,10.0,72.0,8.0,7.8,162.22990777338603,30,0,1,0,0,1
48,7,0,8,20,4.0,2.0,0.0,1.0,7.0,54.0,24.0,6.3,29.0,31,3,0,0,0,0
49,0,0,8,7,0.0,0.0,2.0,0.0,2.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
50,14,0,8,11,1.0,0.0,0.0,0.0,2.0,45.0,25.0,2.0,5.0,32,2,0,0,0,0
51,7,0,9,14,18.0,0.0,0.0,1.0,19.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,33,4,1,1,1,1
52,4,0,9,21,6.0,0.0,0.0,1.0,7.0,68.96767850559173,26.360820941378886,8.9,9.0,34,4,0,1,1,0
52,3,0,9,21,6.0,0.0,0.0,1.0,7.0,56.0,11.0,4.5,6.0,34,4,0,0,0,0
53,6,0,9,7,0.0,0.0,2.0,0.0,2.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
54,0,0,10,9,9.0,11.0,0.0,2.0,23.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,35,3,1,1,1,1
55,4,0,10,22,0.0,16.0,0.0,5.0,21.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
56,2,0,10,2,14.0,1.0,0.0,0.0,15.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
57,14,0,10,2,10.0,3.0,0.0,0.0,13.0,76.0,25.0,7.8,162.22990777338603,36,4,1,0,0,1
58,3,0,10,3,0.0,1.0,0.0,0.0,1.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
59,1,0,10,23,1.0,0.0,0.0,0.0,1.0,43.0,7.0,7.8,162.22990777338603,37,0,1,0,0,1
60,6,0,11,7,43.0,12.0,0.0,5.0,61.0,86.0,55.0,8.7,96.0,38,0,0,0,0,0
61,3,0,11,21,20.0,12.0,0.0,3.0,35.0,77.0,18.0,7.5,37.0,39,4,0,0,0,0
62,1,0,11,3,0.0,0.0,21.0,0.0,21.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,40,1,1,1,1,1
63,4,0,11,24,9.0,0.0,3.0,1.0,12.0,50.0,8.0,6.7,37.0,41,4,0,0,0,0
64,11,0,11,18,6.0,4.0,0.0,1.0,11.0,54.0,15.0,9.1,10.0,42,3,0,0,0,0
65,4,0,11,25,0.0,3.0,0.0,1.0,4.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
66,2,1,3,2,99.0,5.0,0.0,1.0,105.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
67,2,1,3,2,22.0,1.0,0.0,0.0,24.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
68,2,1,8,2,400.0,26.0,0.0,5.0,430.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
69,2,1,8,2,256.0,17.0,0.0,3.0,276.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
70,2,2,0,26,206.0,12.0,0.0,2.0,220.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
71,2,2,0,2,184.0,11.0,0.0,2.0,197.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
72,2,2,0,26,87.0,5.0,0.0,1.0,93.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
73,2,2,0,27,76.0,5.0,0.0,1.0,82.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
74,2,2,0,28,72.0,4.0,0.0,1.0,77.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
75,2,2,0,29,65.0,4.0,0.0,1.0,69.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
76,2,2,0,30,63.0,3.0,0.0,1.0,67.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
77,2,2,0,31,55.0,3.0,0.0,1.0,59.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
78,2,2,0,2,46.0,3.0,0.0,1.0,50.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
79,2,2,0,29,42.0,3.0,0.0,0.0,45.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
80,2,2,0,31,38.0,2.0,0.0,0.0,40.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
81,2,2,0,32,35.0,2.0,0.0,0.0,37.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
82,2,2,0,30,33.0,2.0,0.0,0.0,36.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
83,2,2,0,30,28.0,2.0,0.0,0.0,31.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
84,2,2,0,33,22.0,1.0,0.0,0.0,24.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
85,2,2,0,26,21.0,1.0,0.0,0.0,22.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
86,2,2,0,2,21.0,1.0,0.0,0.0,22.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
87,2,2,0,30,15.0,1.0,0.0,0.0,17.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
88,2,2,4,31,136.0,8.0,0.0,2.0,146.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
89,2,2,4,2,90.0,5.0,0.0,1.0,97.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
90,2,2,5,2,154.0,10.0,0.0,2.0,165.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
91,2,2,5,30,55.0,3.0,0.0,1.0,59.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
92,2,2,8,32,199.0,12.0,0.0,2.0,213.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
93,2,2,8,2,126.0,8.0,0.0,1.0,136.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
94,2,2,8,32,118.0,8.0,0.0,1.0,127.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
95,2,2,8,32,99.0,5.0,0.0,1.0,105.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
96,2,2,8,2,68.0,4.0,0.0,1.0,73.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
97,2,2,8,31,32.0,2.0,0.0,0.0,34.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
98,2,2,8,30,22.0,1.0,0.0,0.0,24.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
99,2,2,9,2,42.0,2.0,0.0,0.0,45.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
100,2,2,10,2,24.0,1.0,0.0,0.0,26.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
101,2,2,10,2,20.0,1.0,0.0,0.0,21.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
102,2,2,10,30,18.0,1.0,0.0,0.0,19.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
103,2,2,10,2,12.0,1.0,0.0,0.0,13.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
104,2,3,0,3,37.0,2.0,0.0,0.0,40.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
105,2,3,0,2,35.0,2.0,0.0,0.0,38.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
106,2,3,0,34,32.0,2.0,0.0,0.0,34.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
107,2,3,0,29,26.0,2.0,0.0,0.0,28.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
108,2,3,0,31,26.0,2.0,0.0,0.0,27.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
109,2,3,0,35,21.0,1.0,0.0,0.0,22.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
110,2,3,0,2,13.0,1.0,0.0,0.0,14.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
111,2,3,3,36,81.0,5.0,0.0,1.0,87.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
112,2,3,4,2,148.0,9.0,0.0,2.0,159.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
113,2,3,4,2,103.0,6.0,0.0,1.0,110.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
114,2,3,4,2,101.0,6.0,0.0,1.0,108.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
115,2,3,4,2,67.0,4.0,0.0,1.0,72.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
116,2,3,4,26,50.0,3.0,0.0,1.0,54.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
117,2,3,5,2,728.0,45.0,0.0,8.0,781.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
118,2,3,5,2,152.0,10.0,0.0,2.0,164.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
119,2,3,5,26,55.0,3.0,0.0,1.0,57.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
120,2,3,6,2,110.0,7.0,0.0,1.0,118.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
121,2,3,6,30,37.0,2.0,0.0,0.0,39.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
122,2,3,8,2,105.0,6.0,0.0,1.0,112.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
123,2,3,8,2,73.0,4.0,0.0,1.0,78.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
124,2,3,8,2,72.0,5.0,0.0,1.0,77.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
125,2,3,8,2,57.0,3.0,0.0,1.0,62.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
126,2,3,10,2,46.0,3.0,0.0,1.0,50.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
127,2,4,0,2,72.0,4.0,0.0,1.0,77.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
128,2,4,0,2,47.0,3.0,0.0,1.0,50.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
129,2,4,0,2,43.0,3.0,0.0,0.0,46.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
130,2,4,0,26,31.0,2.0,0.0,0.0,33.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
131,2,4,0,26,15.0,1.0,0.0,0.0,17.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
132,2,4,1,2,38.0,2.0,0.0,0.0,40.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
133,15,4,3,7,1.0,0.0,213.0,0.0,214.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
112,15,4,4,7,51.0,12.0,163.0,2.0,227.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
88,15,4,4,7,23.0,5.0,84.0,1.0,112.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
134,15,4,4,7,33.0,7.0,70.0,1.0,111.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
116,15,4,4,7,51.0,12.0,45.0,2.0,110.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
135,2,4,5,2,72.0,5.0,0.0,1.0,78.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
136,2,4,8,2,45.0,3.0,0.0,1.0,48.0,68.96767850559173,26.360820941378886,7.8,162.22990777338603,1,1,1,1,1,1
